n_txns,n_deposit,n_borrow,n_repay,n_redeem,n_liquidation,total_deposit_amount,total_borrow_amount,total_repay_amount,avg_txn_amount,active_days,asset_diversity,borrow_to_repay_ratio,rule_score
1,1,0,0,0,0,82.0,0.0,0.0,82.0,1,1,0.0,567.9
6,3,0,0,3,0,251.30527946230075,0.0,0.0,83.76858511150671,5,2,0.0,572.43
140,70,36,16,18,0,39564.85467566896,20742.14288533697,7538.711787646098,623.4366815537293,33,7,0.3634490336392347,643.2
12,3,5,4,0,0,39717.390290837735,11003.000000012,6003.9658074612025,4727.0296748592455,6,5,0.5456662552857392,618.97
30,17,2,3,8,0,239.7152904600293,30.010680291871015,30.0557177659305,13.998663362101023,12,6,1.0015006814947478,636.96
2,2,0,0,0,0,2.00301744,0.0,0.0,1.00150872,2,1,0.0,564.52
91,27,20,18,26,0,34311.6538899008,25050.654303784188,25034.047277744863,1304.5241478031824,7,4,0.9993370621446741,655.67
1,1,0,0,0,0,0.0989,0.0,0.0,0.0989,1,1,0.0,562.48
1,1,0,0,0,0,1e-12,0.0,0.0,1e-12,1,1,0.0,562.36
1,1,0,0,0,0,33.4654,0.0,0.0,33.4654,1,1,0.0,566.8
13,5,3,2,2,1,19514.35824807425,5600.000000005511,2.76726803e-09,1931.8737113912357,6,4,4.941550052684145e-13,552.56
4,2,2,0,0,0,0.000218148265486804,0.2881908483072319,0.0,0.07210224914317967,2,3,0.0,563.15
1,1,0,0,0,0,1.14151e-13,0.0,0.0,1.14151e-13,1,1,0.0,562.36
1,1,0,0,0,0,1.5,0.0,0.0,1.5,1,1,0.0,563.51
1,1,0,0,0,0,1.1e-12,0.0,0.0,1.1e-12,1,1,0.0,562.36
88,48,14,9,17,0,5.478404750270001e-07,4.998e-07,4.99969487883e-07,2.3813543227659087e-08,35,1,0.33335743958061076,622.0
276,85,63,63,64,1,2061118.0658146497,2345151.8829394137,2380990.381636643,31935.57056970372,42,7,1.0152819520803464,710.01
5,0,0,0,5,0,0.0,0.0,0.0,550.6000000016522,1,3,0.0,562.36
1,1,0,0,0,0,1.108184e-12,0.0,0.0,1.108184e-12,1,1,0.0,562.36
1,1,0,0,0,0,1.108326e-12,0.0,0.0,1.108326e-12,1,1,0.0,562.36
68,26,21,21,0,0,2544.68,97.19000000072442,97.22999847260486,40.28088233049013,29,7,1.0004115389594466,672.96
42,8,6,18,10,0,56.482260981339515,289.94155083493786,579.9463765976348,32.09781628270292,18,6,2.0002182264920587,688.91
3,1,2,0,0,0,0.014755088912075304,10.0,0.0,3.338251696304025,1,2,0.0,562.38
2,2,0,0,0,0,2.03123161846616,0.0,0.0,1.01561580923308,2,1,0.0,564.54
7,2,2,2,1,0,309.17770358213505,50.008,50.009526928872866,58.60639384918669,3,2,1.000030513694656,629.07
9,3,2,2,2,0,9.995377221235593,2.005,0.001823546447145775,1.3336889741880822,1,3,0.0009094990212702013,567.64
1,1,0,0,0,0,1.107916e-12,0.0,0.0,1.107916e-12,1,1,0.0,562.36
1,1,0,0,0,0,1e-13,0.0,0.0,1e-13,1,1,0.0,562.36
57,14,15,10,18,0,7023.9195014901015,7400.000000031436,3.1448798555e-08,352.85533304511,21,7,4.249837641975211e-12,600.11
2,1,1,0,0,0,0.1,0.01,0.0,0.055,1,1,0.0,562.48
1,1,0,0,0,0,0.1032,0.0,0.0,0.1032,1,1,0.0,562.49
2,2,0,0,0,0,2.2e-12,0.0,0.0,1.1e-12,2,1,0.0,563.15
